,PronosticosOilVol,PronosticosGasVol,PronosticosWaterVol,PronosticosWaterCut
2019-03-12,12.551785522519875,3335.239794753505,41.86024289472491,75.09353743923617
2019-03-13,12.53696552699269,3331.5034728070095,41.86024289472489,75.09353743893854
2019-03-14,12.522145531468388,3327.7671508609415,41.86024289472488,75.09353748829578
2019-03-15,12.507325535946162,3324.03082891518,41.86024289472487,75.09353750500833
2019-03-16,12.492505540425434,3320.294506969638,41.86024289472486,75.09353747597713
2019-03-17,12.477685544905784,3316.558185024254,41.860242894724855,75.09353745456579
2019-03-18,12.462865549386912,3312.8218630789825,41.860242894724855,75.09353746778861
2019-03-19,12.4480455538686,3309.0855411337916,41.860242894724855,75.09353748723174
2019-03-20,12.433225558350692,3305.349219188659,41.860242894724855,75.09353748445338
2019-03-21,12.418405562833074,3301.6128972435677,41.860242894724855,75.09353746988799
